# wavelength (microns), QE
10.3600,0.5076
10.3800,0.5082
10.4000,0.5088
10.4200,0.5095
10.4400,0.5101
10.4600,0.5107
10.4800,0.5114
10.5000,0.5120
10.5200,0.5125
10.5400,0.5129
10.5600,0.5134
10.5800,0.5138
10.6000,0.5143
10.6200,0.5147
10.6400,0.5152
10.6600,0.5156
10.6800,0.5160
10.7000,0.5164
10.7200,0.5168
10.7400,0.5172
10.7600,0.5176
10.7800,0.5180
10.8000,0.5184
10.8200,0.5188
10.8400,0.5192
10.8600,0.5196
10.8800,0.5200
10.9000,0.5204
10.9200,0.5208
10.9400,0.5212
10.9600,0.5216
10.9800,0.5220
11.0000,0.5223
11.0200,0.5229
11.0400,0.5234
11.0600,0.5239
11.0800,0.5244
11.1000,0.5250
11.1200,0.5255
11.1400,0.5260
11.1600,0.5265
11.1800,0.5271
11.2000,0.5276
11.2200,0.5281
11.2400,0.5286
11.2600,0.5292
11.2800,0.5297
11.3000,0.5303
11.3200,0.5309
11.3400,0.5314
11.3600,0.5320
11.3800,0.5326
11.4000,0.5331
11.4200,0.5337
11.4400,0.5343
11.4600,0.5348
11.4800,0.5354
11.5000,0.5359
11.5200,0.5369
11.5400,0.5378
11.5600,0.5387
11.5800,0.5396
11.6000,0.5405
11.6200,0.5414
11.6400,0.5424
11.6600,0.5433
11.6800,0.5442
11.7000,0.5451
11.7200,0.5460
11.7400,0.5469
11.7600,0.5479
11.7800,0.5488
11.8000,0.5497
11.8200,0.5506
11.8400,0.5515
11.8600,0.5524
11.8800,0.5533
11.9000,0.5541
11.9200,0.5550
11.9400,0.5559
11.9600,0.5568
11.9800,0.5577
12.0000,0.5585
12.0200,0.5597
12.0400,0.5608
12.0600,0.5620
12.0800,0.5631
12.1000,0.5643
12.1200,0.5655
12.1400,0.5666
12.1600,0.5677
12.1800,0.5689
12.2000,0.5700
12.2200,0.5711
12.2400,0.5722
12.2600,0.5734
12.2800,0.5745
12.3000,0.5756
12.3200,0.5768
12.3400,0.5779
12.3600,0.5790
12.3800,0.5802
12.4000,0.5813
12.4200,0.5824
12.4400,0.5836
12.4600,0.5848
12.4800,0.5860
12.5000,0.5871
12.5200,0.5874
12.5400,0.5878
12.5600,0.5881
12.5800,0.5884
12.6000,0.5887
12.6200,0.5890
12.6400,0.5893
12.6600,0.5897
12.6800,0.5900
12.7000,0.5903
12.7200,0.5906
12.7400,0.5909
12.7600,0.5912
12.7800,0.5916
12.8000,0.5919
12.8200,0.5922
12.8400,0.5925
12.8600,0.5928
12.8800,0.5932
12.9000,0.5935
12.9200,0.5938
12.9400,0.5941
12.9600,0.5944
12.9800,0.5948
13.0000,0.5951
13.0200,0.5949
13.0400,0.5947
13.0600,0.5945
13.0800,0.5943
13.1000,0.5941
13.1200,0.5939
13.1400,0.5937
13.1600,0.5935
13.1800,0.5933
13.2000,0.5931
13.2200,0.5929
13.2400,0.5927
13.2600,0.5925
13.2800,0.5923
13.3000,0.5922
13.3200,0.5920
13.3400,0.5918
