# wavelength (microns), QE
10.3600,0.5667
10.3800,0.5662
10.4000,0.5657
10.4200,0.5652
10.4400,0.5648
10.4600,0.5643
10.4800,0.5638
10.5000,0.5633
10.5200,0.5627
10.5400,0.5621
10.5600,0.5615
10.5800,0.5609
10.6000,0.5603
10.6200,0.5597
10.6400,0.5591
10.6600,0.5585
10.6800,0.5579
10.7000,0.5572
10.7200,0.5566
10.7400,0.5559
10.7600,0.5553
10.7800,0.5546
10.8000,0.5540
10.8200,0.5533
10.8400,0.5526
10.8600,0.5520
10.8800,0.5513
10.9000,0.5507
10.9200,0.5500
10.9400,0.5493
10.9600,0.5487
10.9800,0.5480
11.0000,0.5473
11.0200,0.5468
11.0400,0.5463
11.0600,0.5457
11.0800,0.5452
11.1000,0.5447
11.1200,0.5442
11.1400,0.5437
11.1600,0.5432
11.1800,0.5427
11.2000,0.5422
11.2200,0.5417
11.2400,0.5412
11.2600,0.5407
11.2800,0.5402
11.3000,0.5397
11.3200,0.5393
11.3400,0.5388
11.3600,0.5383
11.3800,0.5378
11.4000,0.5374
11.4200,0.5369
11.4400,0.5364
11.4600,0.5359
11.4800,0.5355
11.5000,0.5350
11.5200,0.5349
11.5400,0.5349
11.5600,0.5348
11.5800,0.5348
11.6000,0.5347
11.6200,0.5347
11.6400,0.5346
11.6600,0.5346
11.6800,0.5345
11.7000,0.5344
11.7200,0.5344
11.7400,0.5343
11.7600,0.5343
11.7800,0.5342
11.8000,0.5342
11.8200,0.5341
11.8400,0.5340
11.8600,0.5339
11.8800,0.5338
11.9000,0.5337
11.9200,0.5336
11.9400,0.5335
11.9600,0.5334
11.9800,0.5333
12.0000,0.5332
12.0200,0.5334
12.0400,0.5337
12.0600,0.5339
12.0800,0.5341
12.1000,0.5343
12.1200,0.5345
12.1400,0.5347
12.1600,0.5349
12.1800,0.5351
12.2000,0.5353
12.2200,0.5354
12.2400,0.5356
12.2600,0.5358
12.2800,0.5360
12.3000,0.5362
12.3200,0.5364
12.3400,0.5366
12.3600,0.5367
12.3800,0.5369
12.4000,0.5371
12.4200,0.5373
12.4400,0.5375
12.4600,0.5378
12.4800,0.5380
12.5000,0.5382
12.5200,0.5377
12.5400,0.5372
12.5600,0.5366
12.5800,0.5361
12.6000,0.5356
12.6200,0.5351
12.6400,0.5346
12.6600,0.5340
12.6800,0.5335
12.7000,0.5330
12.7200,0.5325
12.7400,0.5319
12.7600,0.5314
12.7800,0.5309
12.8000,0.5304
12.8200,0.5299
12.8400,0.5293
12.8600,0.5288
12.8800,0.5283
12.9000,0.5278
12.9200,0.5272
12.9400,0.5267
12.9600,0.5262
12.9800,0.5256
13.0000,0.5251
13.0200,0.5243
13.0400,0.5235
13.0600,0.5227
13.0800,0.5219
13.1000,0.5211
13.1200,0.5203
13.1400,0.5195
13.1600,0.5188
13.1800,0.5180
13.2000,0.5172
13.2200,0.5164
13.2400,0.5156
13.2600,0.5148
13.2800,0.5140
13.3000,0.5132
13.3200,0.5124
13.3400,0.5116
13.3600,0.5109
13.3800,0.5101
13.4000,0.5093
13.4200,0.5086
13.4400,0.5078
13.4600,0.5070
13.4800,0.5062
13.5000,0.5055
13.5200,0.5067
13.5400,0.5080
13.5600,0.5093
13.5800,0.5106
13.6000,0.5119
13.6200,0.5131
13.6400,0.5144
13.6600,0.5157
13.6800,0.5169
13.7000,0.5182
13.7200,0.5194
13.7400,0.5207
13.7600,0.5220
13.7800,0.5232
13.8000,0.5245
13.8200,0.5257
13.8400,0.5270
13.8600,0.5283
13.8800,0.5295
13.9000,0.5308
13.9200,0.5321
13.9400,0.5334
13.9600,0.5347
13.9800,0.5360
14.0000,0.5373
14.0200,0.5400
14.0400,0.5427
14.0600,0.5454
