# wavelength (microns), transmission, emissivity
4.8326,0.2146,0.000
4.8363,0.2172,0.000
4.8399,0.2205,0.000
4.8436,0.2238,0.000
4.8473,0.2271,0.000
4.8510,0.2304,0.000
4.8546,0.2337,0.000
4.8583,0.2370,0.000
4.8620,0.2403,0.000
4.8656,0.2436,0.000
4.8693,0.2469,0.000
4.8730,0.2502,0.000
4.8766,0.2536,0.000
4.8803,0.2569,0.000
4.8840,0.2602,0.000
4.8876,0.2635,0.000
4.8913,0.2663,0.000
4.8950,0.2684,0.000
4.8986,0.2705,0.000
4.9023,0.2726,0.000
4.9060,0.2747,0.000
4.9096,0.2768,0.000
4.9133,0.2789,0.000
4.9170,0.2810,0.000
4.9206,0.2831,0.000
4.9243,0.2852,0.000
4.9280,0.2872,0.000
4.9316,0.2893,0.000
4.9353,0.2914,0.000
4.9390,0.2935,0.000
4.9426,0.2956,0.000
4.9463,0.2977,0.000
4.9500,0.2998,0.000
4.9537,0.3019,0.000
4.9573,0.3040,0.000
4.9610,0.3061,0.000
4.9647,0.3082,0.000
4.9683,0.3103,0.000
4.9720,0.3123,0.000
4.9757,0.3153,0.000
4.9793,0.3193,0.000
4.9830,0.3233,0.000
4.9867,0.3273,0.000
4.9903,0.3312,0.000
4.9940,0.3352,0.000
4.9977,0.3392,0.000
5.0013,0.3432,0.000
5.0050,0.3472,0.000
5.0087,0.3512,0.000
5.0123,0.3552,0.000
5.0160,0.3592,0.000
5.0197,0.3631,0.000
5.0233,0.3671,0.000
5.0270,0.3711,0.000
5.0307,0.3751,0.000
5.0343,0.3791,0.000
5.0380,0.3831,0.000
5.0417,0.3871,0.000
5.0453,0.3911,0.000
5.0490,0.3950,0.000
5.0527,0.3990,0.000
5.0564,0.4024,0.000
5.0600,0.4048,0.000
5.0637,0.4071,0.000
5.0674,0.4095,0.000
5.0710,0.4118,0.000
5.0747,0.4142,0.000
5.0784,0.4165,0.000
5.0820,0.4188,0.000
5.0857,0.4212,0.000
5.0894,0.4235,0.000
5.0930,0.4259,0.000
5.0967,0.4282,0.000
5.1004,0.4306,0.000
5.1040,0.4329,0.000
5.1077,0.4353,0.000
5.1114,0.4376,0.000
5.1150,0.4400,0.000
5.1187,0.4423,0.000
5.1224,0.4447,0.000
5.1260,0.4470,0.000
5.1297,0.4494,0.000
5.1334,0.4517,0.000
5.1370,0.4541,0.000
5.1407,0.4564,0.000
5.1444,0.4587,0.000
5.1480,0.4611,0.000
5.1517,0.4634,0.000
5.1554,0.4658,0.000
5.1591,0.4681,0.000
5.1627,0.4705,0.000
5.1664,0.4743,0.000
5.1701,0.4789,0.000
5.1737,0.4835,0.000
5.1774,0.4881,0.000
5.1811,0.4927,0.000
5.1847,0.4973,0.000
5.1884,0.5019,0.000
5.1921,0.5065,0.000
5.1957,0.5111,0.000
5.1994,0.5157,0.000
5.2031,0.5203,0.000
5.2067,0.5248,0.000
5.2104,0.5292,0.000
5.2141,0.5335,0.000
5.2177,0.5379,0.000
5.2214,0.5423,0.000
5.2251,0.5467,0.000
5.2287,0.5510,0.000
5.2324,0.5554,0.000
5.2361,0.5598,0.000
5.2397,0.5642,0.000
5.2434,0.5685,0.000
5.2471,0.5712,0.000
5.2508,0.5734,0.000
5.2544,0.5757,0.000
5.2581,0.5780,0.000
5.2618,0.5803,0.000
5.2654,0.5826,0.000
5.2691,0.5849,0.000
5.2728,0.5872,0.000
5.2764,0.5895,0.000
5.2801,0.5918,0.000
5.2838,0.5941,0.000
5.2874,0.5964,0.000
5.2911,0.5987,0.000
5.2948,0.6010,0.000
5.2984,0.6032,0.000
5.3021,0.6044,0.000
5.3058,0.6056,0.000
5.3094,0.6068,0.000
5.3131,0.6080,0.000
5.3168,0.6092,0.000
5.3204,0.6104,0.000
5.3241,0.6116,0.000
5.3278,0.6128,0.000
5.3314,0.6140,0.000
5.3351,0.6152,0.000
5.3388,0.6164,0.000
5.3424,0.6175,0.000
5.3461,0.6187,0.000
5.3498,0.6199,0.000
5.3535,0.6211,0.000
5.3571,0.6223,0.000
5.3608,0.6235,0.000
5.3645,0.6247,0.000
5.3681,0.6259,0.000
5.3718,0.6271,0.000
5.3755,0.6283,0.000
5.3791,0.6295,0.000
5.3828,0.6312,0.000
5.3865,0.6331,0.000
5.3901,0.6350,0.000
5.3938,0.6369,0.000
5.3975,0.6387,0.000
5.4011,0.6406,0.000
5.4048,0.6425,0.000
5.4085,0.6443,0.000
5.4121,0.6462,0.000
5.4158,0.6481,0.000
5.4195,0.6500,0.000
5.4231,0.6508,0.000
5.4268,0.6515,0.000
5.4305,0.6522,0.000
5.4341,0.6529,0.000
5.4378,0.6536,0.000
5.4415,0.6543,0.000
5.4451,0.6550,0.000
5.4488,0.6557,0.000
5.4525,0.6564,0.000
5.4562,0.6571,0.000
5.4598,0.6578,0.000
5.4635,0.6582,0.000
5.4672,0.6586,0.000
5.4708,0.6590,0.000
5.4745,0.6593,0.000
5.4782,0.6597,0.000
5.4818,0.6601,0.000
5.4855,0.6605,0.000
5.4892,0.6608,0.000
5.4928,0.6612,0.000
5.4965,0.6616,0.000
5.5002,0.6619,0.000
5.5038,0.6623,0.000
5.5075,0.6627,0.000
5.5112,0.6630,0.000
5.5148,0.6634,0.000
5.5185,0.6638,0.000
5.5222,0.6641,0.000
5.5258,0.6645,0.000
5.5295,0.6649,0.000
5.5332,0.6653,0.000
5.5368,0.6656,0.000
5.5405,0.6660,0.000
5.5442,0.6664,0.000
5.5478,0.6667,0.000
5.5515,0.6671,0.000
5.5552,0.6673,0.000
5.5589,0.6675,0.000
5.5625,0.6676,0.000
5.5662,0.6678,0.000
5.5699,0.6680,0.000
5.5735,0.6681,0.000
5.5772,0.6683,0.000
5.5809,0.6685,0.000
5.5845,0.6686,0.000
5.5882,0.6688,0.000
5.5919,0.6689,0.000
5.5955,0.6691,0.000
5.5992,0.6693,0.000
5.6029,0.6694,0.000
5.6065,0.6696,0.000
5.6102,0.6698,0.000
5.6139,0.6699,0.000
5.6175,0.6701,0.000
5.6212,0.6703,0.000
5.6249,0.6704,0.000
5.6285,0.6706,0.000
5.6322,0.6708,0.000
5.6359,0.6709,0.000
5.6395,0.6711,0.000
5.6432,0.6713,0.000
5.6469,0.6714,0.000
5.6506,0.6716,0.000
5.6542,0.6718,0.000
5.6579,0.6719,0.000
5.6616,0.6721,0.000
5.6652,0.6720,0.000
5.6689,0.6720,0.000
5.6726,0.6720,0.000
5.6762,0.6719,0.000
5.6799,0.6719,0.000
5.6836,0.6719,0.000
5.6872,0.6718,0.000
5.6909,0.6718,0.000
5.6946,0.6718,0.000
5.6982,0.6717,0.000
5.7019,0.6717,0.000
5.7056,0.6717,0.000
5.7092,0.6716,0.000
5.7129,0.6716,0.000
5.7166,0.6715,0.000
5.7202,0.6715,0.000
5.7239,0.6715,0.000
5.7276,0.6714,0.000
5.7312,0.6714,0.000
5.7349,0.6714,0.000
5.7386,0.6713,0.000
5.7422,0.6713,0.000
5.7459,0.6713,0.000
5.7496,0.6712,0.000
5.7533,0.6712,0.000
5.7569,0.6712,0.000
5.7606,0.6711,0.000
5.7643,0.6711,0.000
5.7679,0.6711,0.000
5.7716,0.6710,0.000
5.7753,0.6710,0.000
5.7789,0.6710,0.000
5.7826,0.6709,0.000
5.7863,0.6709,0.000
5.7899,0.6708,0.000
5.7936,0.6708,0.000
5.7973,0.6708,0.000
5.8009,0.6707,0.000
5.8046,0.6707,0.000
5.8083,0.6707,0.000
5.8119,0.6707,0.000
5.8156,0.6708,0.000
5.8193,0.6709,0.000
5.8229,0.6710,0.000
