# wavelength (microns), beta, x (microns), y (microns)
10.0821,0.0000,3845.1811,0.0000
10.1036,0.0000,3869.6742,0.0000
10.1251,0.0000,3894.7120,0.0000
10.1474,0.0000,3920.5879,0.0000
10.1702,0.0000,3946.7908,0.0000
10.1929,0.0000,3973.0911,0.0000
10.2157,0.0000,3999.3728,0.0000
10.2382,0.0000,4025.0515,0.0000
10.2598,0.0000,4050.2349,0.0000
10.2813,0.0000,4075.5052,0.0000
10.3029,0.0000,4100.8622,0.0000
10.3244,0.0000,4126.0696,0.0000
10.3456,0.0000,4151.0059,0.0000
10.3665,0.0000,4175.7860,0.0000
10.3873,0.0000,4200.6469,0.0000
10.4082,0.0000,4225.6479,0.0000
10.4291,0.0000,4250.5495,0.0000
10.4497,0.0000,4275.2893,0.0000
10.4702,0.0000,4300.1064,0.0000
10.4908,0.0000,4325.0009,0.0000
10.5113,0.0000,4349.9726,0.0000
10.5319,0.0000,4375.2042,0.0000
10.5527,0.0000,4400.6978,0.0000
10.5736,0.0000,4426.2703,0.0000
10.5944,0.0000,4451.9215,0.0000
10.6153,0.0000,4477.6512,0.0000
10.6361,0.0000,4503.3352,0.0000
10.6568,0.0000,4528.9720,0.0000
10.6774,0.0000,4554.6851,0.0000
10.6981,0.0000,4580.4744,0.0000
10.7187,0.0000,4605.8385,0.0000
10.7386,0.0000,4630.0180,0.0000
10.7572,0.0000,4653.3792,0.0000
10.7757,0.0000,4676.7380,0.0000
10.7942,0.0000,4700.2205,0.0000
10.8128,0.0000,4723.7633,0.0000
10.8313,0.0000,4748.9569,0.0000
10.8524,0.0000,4776.1374,0.0000
10.8739,0.0000,4803.6537,0.0000
10.8954,0.0000,4831.2502,0.0000
10.9169,0.0000,4858.0256,0.0000
10.9370,0.0000,4883.3243,0.0000
10.9561,0.0000,4907.9756,0.0000
10.9751,0.0000,4932.6893,0.0000
10.9942,0.0000,4957.5301,0.0000
11.0133,0.0000,4982.3028,0.0000
11.0322,0.0000,5006.7447,0.0000
11.0507,0.0000,5031.0490,0.0000
11.0693,0.0000,5055.4116,0.0000
11.0878,0.0000,5079.8325,0.0000
11.1064,0.0000,5104.3115,0.0000
11.1249,0.0000,5129.3776,0.0000
11.1443,0.0000,5155.2349,0.0000
11.1639,0.0000,5181.3559,0.0000
11.1836,0.0000,5207.5417,0.0000
11.2032,0.0000,5233.6583,0.0000
11.2227,0.0000,5259.0353,0.0000
11.2411,0.0000,5283.6651,0.0000
11.2594,0.0000,5308.3510,0.0000
11.2778,0.0000,5333.0931,0.0000
11.2961,0.0000,5357.8912,0.0000
11.3145,0.0000,5382.6099,0.0000
11.3326,0.0000,5406.9761,0.0000
11.3504,0.0000,5431.2595,0.0000
11.3683,0.0000,5455.6641,0.0000
11.3862,0.0000,5480.1218,0.0000
11.4041,0.0000,5504.6327,0.0000
11.4220,0.0000,5529.4711,0.0000
11.4403,0.0000,5554.6395,0.0000
11.4586,0.0000,5579.9327,0.0000
11.4770,0.0000,5605.2818,0.0000
11.4953,0.0000,5630.6869,0.0000
11.5137,0.0000,5656.1480,0.0000
11.5320,0.0000,5681.5956,0.0000
11.5503,0.0000,5707.0988,0.0000
11.5686,0.0000,5732.5881,0.0000
11.5868,0.0000,5758.1330,0.0000
11.6051,0.0000,5783.5234,0.0000
11.6230,0.0000,5808.1247,0.0000
11.6401,0.0000,5832.2129,0.0000
11.6572,0.0000,5856.3503,0.0000
11.6743,0.0000,5880.5370,0.0000
11.6914,0.0000,5904.7732,0.0000
11.7085,0.0000,5929.2011,0.0000
11.7258,0.0000,5954.2492,0.0000
11.7437,0.0000,5979.7789,0.0000
11.7616,0.0000,6005.3635,0.0000
11.7795,0.0000,6031.0031,0.0000
11.7974,0.0000,6056.6261,0.0000
11.8152,0.0000,6081.9447,0.0000
11.8326,0.0000,6106.8119,0.0000
11.8497,0.0000,6131.5139,0.0000
11.8668,0.0000,6156.2673,0.0000
11.8839,0.0000,6181.0720,0.0000
11.9010,0.0000,6205.9285,0.0000
11.9181,0.0000,6230.2544,0.0000
11.9344,0.0000,6253.8992,0.0000
11.9505,0.0000,6277.5178,0.0000
11.9667,0.0000,6301.1834,0.0000
11.9828,0.0000,6324.8228,0.0000
11.9989,0.0000,6348.5830,0.0000
12.0151,0.0000,6373.7180,0.0000
12.0330,0.0000,6400.1651,0.0000
12.0509,0.0000,6426.6715,0.0000
12.0688,0.0000,6453.2375,0.0000
12.0867,0.0000,6479.7893,0.0000
12.1045,0.0000,6505.8796,0.0000
12.1217,0.0000,6530.6823,0.0000
12.1377,0.0000,6554.6376,0.0000
12.1537,0.0000,6578.6420,0.0000
12.1697,0.0000,6602.6961,0.0000
12.1857,0.0000,6626.8000,0.0000
12.2017,0.0000,6650.9542,0.0000
12.2177,0.0000,6675.2344,0.0000
12.2338,0.0000,6699.7177,0.0000
12.2500,0.0000,6724.2533,0.0000
12.2661,0.0000,6748.8415,0.0000
12.2823,0.0000,6773.4825,0.0000
12.2984,0.0000,6798.1768,0.0000
12.3146,0.0000,6823.3078,0.0000
12.3312,0.0000,6848.8792,0.0000
12.3479,0.0000,6874.5855,0.0000
12.3646,0.0000,6900.3506,0.0000
12.3813,0.0000,6926.2522,0.0000
12.3981,0.0000,6951.9034,0.0000
12.4144,0.0000,6976.2146,0.0000
12.4294,0.0000,6999.5649,0.0000
12.4444,0.0000,7023.0422,0.0000
12.4595,0.0000,7046.5690,0.0000
12.4745,0.0000,7070.0673,0.0000
12.4895,0.0000,7093.6156,0.0000
12.5045,0.0000,7117.6863,0.0000
12.5201,0.0000,7142.7568,0.0000
12.5363,0.0000,7168.2805,0.0000
12.5524,0.0000,7193.8638,0.0000
12.5686,0.0000,7219.5070,0.0000
12.5847,0.0000,7245.2105,0.0000
12.6009,0.0000,7270.8151,0.0000
12.6168,0.0000,7295.6004,0.0000
12.6319,0.0000,7319.7194,0.0000
12.6469,0.0000,7343.8922,0.0000
12.6620,0.0000,7368.1192,0.0000
12.6770,0.0000,7392.4006,0.0000
12.6921,0.0000,7416.7367,0.0000
12.7071,0.0000,7441.2088,0.0000
12.7223,0.0000,7465.8994,0.0000
12.7375,0.0000,7490.5653,0.0000
12.7526,0.0000,7515.2879,0.0000
12.7678,0.0000,7540.1493,0.0000
12.7830,0.0000,7564.9864,0.0000
12.7981,0.0000,7589.9632,0.0000
12.8134,0.0000,7615.3280,0.0000
12.8289,0.0000,7640.9183,0.0000
12.8444,0.0000,7666.5696,0.0000
12.8599,0.0000,7692.2823,0.0000
12.8754,0.0000,7718.0565,0.0000
12.8909,0.0000,7743.8926,0.0000
12.9064,0.0000,7769.5401,0.0000
12.9216,0.0000,7794.9970,0.0000
12.9368,0.0000,7820.4297,0.0000
12.9519,0.0000,7845.9224,0.0000
12.9671,0.0000,7871.5595,0.0000
12.9823,0.0000,7897.2570,0.0000
12.9975,0.0000,7922.8456,0.0000
13.0125,0.0000,7947.5597,0.0000
13.0266,0.0000,7971.5618,0.0000
13.0407,0.0000,7995.6162,0.0000
13.0548,0.0000,8019.8085,0.0000
13.0690,0.0000,8044.0534,0.0000
13.0831,0.0000,8068.2651,0.0000
13.0972,0.0000,8092.9593,0.0000
13.1118,0.0000,8118.4848,0.0000
