#Dichroic 0,,
#λ,Reflectivity,Emissivity
#μm,,
9.00901,1.0,0.0
9.09091,1.0,0.0
9.17431,1.0,0.0
9.25926,1.0,0.0
9.34579,1.0,0.0
9.43396,1.0,0.0
9.52381,1.0,0.0
9.61538,1.0,0.0
9.70874,1.0,0.0
9.80392,1.0,0.0
9.90099,1.0,0.0
10,1.0,0.0
10.10101,1.0,0.0
10.20408,1.0,0.0
10.30928,1.0,0.0
10.41667,1.0,0.0
10.52632,1.0,0.0
10.6383,1.0,0.0
10.75269,1.0,0.0
10.86957,1.0,0.0
10.98901,1.0,0.0
11.11111,1.0,0.0
11.23596,1.0,0.0
11.36364,1.0,0.0
11.49425,1.0,0.0
11.62791,1.0,0.0
11.76471,1.0,0.0
11.90476,1.0,0.0
12.04819,1.0,0.0
12.19512,1.0,0.0
12.34568,1.0,0.0
12.5,1.0,0.0
12.65823,1.0,0.0
12.82051,1.0,0.0
12.98701,1.0,0.0
13.15789,1.0,0.0
13.33333,1.0,0.0
13.51351,1.0,0.0
13.69863,1.0,0.0
13.88889,1.0,0.0
14.08451,1.0,0.0
14.28571,1.0,0.0
14.49275,1.0,0.0
14.70588,1.0,0.0
14.92537,1.0,0.0
15.15152,1.0,0.0
15.38462,1.0,0.0
15.625,1.0,0.0
15.87302,1.0,0.0
16.12903,1.0,0.0
16.38504,1.0,0.0
16.64105,1.0,0.0
16.89706,1.0,0.0
17.15307,1.0,0.0
17.40908,1.0,0.0
17.66509,1.0,0.0
17.9211,1.0,0.0
18.17711,1.0,0.0
18.43312,1.0,0.0
18.68913,1.0,0.0
18.94514,1.0,0.0
19.20115,1.0,0.0
19.45716,1.0,0.0
19.71317,1.0,0.0
19.96918,1.0,0.0
20.22519,1.0,0.0
20.4812,1.0,0.0
20.73721,1.0,0.0
20.99322,1.0,0.0
21.24923,1.0,0.0
21.50524,1.0,0.0
21.76125,1.0,0.0
22.01726,1.0,0.0
22.27327,1.0,0.0
22.52928,1.0,0.0
22.78529,1.0,0.0
23.0413,1.0,0.0
23.29731,1.0,0.0
23.55332,1.0,0.0
23.80933,1.0,0.0
24.06534,1.0,0.0
24.32135,1.0,0.0
24.57736,1.0,0.0
24.83337,1.0,0.0
25.08938,1.0,0.0
