# wavelength (microns), transmission, emissivity
2.7300,0.8871,0.0000
2.7400,0.8869,0.0000
2.7500,0.8864,0.0000
2.7600,0.8858,0.0000
2.7700,0.8856,0.0000
2.7800,0.8847,0.0000
2.7900,0.8849,0.0000
2.8000,0.8847,0.0000
2.8100,0.8844,0.0000
2.8200,0.8842,0.0000
2.8300,0.8840,0.0000
2.8400,0.8838,0.0000
2.8500,0.8837,0.0000
2.8600,0.8833,0.0000
2.8700,0.8831,0.0000
2.8800,0.8829,0.0000
2.8900,0.8826,0.0000
2.9000,0.8825,0.0000
2.9100,0.8825,0.0000
2.9200,0.8825,0.0000
2.9300,0.8826,0.0000
2.9400,0.8826,0.0000
2.9500,0.8828,0.0000
2.9600,0.8832,0.0000
2.9700,0.8835,0.0000
2.9800,0.8835,0.0000
2.9900,0.8837,0.0000
3.0000,0.8840,0.0000
3.0100,0.8842,0.0000
3.0200,0.8842,0.0000
3.0300,0.8842,0.0000
3.0400,0.8844,0.0000
3.0500,0.8849,0.0000
3.0600,0.8849,0.0000
3.0700,0.8853,0.0000
3.0800,0.8855,0.0000
3.0900,0.8859,0.0000
3.1000,0.8861,0.0000
3.1100,0.8862,0.0000
3.1200,0.8864,0.0000
3.1300,0.8868,0.0000
3.1400,0.8868,0.0000
3.1500,0.8871,0.0000
3.1600,0.8872,0.0000
3.1700,0.8874,0.0000
3.1800,0.8876,0.0000
3.1900,0.8877,0.0000
3.2000,0.8879,0.0000
3.2100,0.8883,0.0000
3.2200,0.8885,0.0000
3.2300,0.8887,0.0000
3.2400,0.8890,0.0000
3.2500,0.8893,0.0000
3.2600,0.8895,0.0000
3.2700,0.8896,0.0000
3.2800,0.8897,0.0000
3.2900,0.8899,0.0000
3.3000,0.8901,0.0000
3.3100,0.8901,0.0000
3.3200,0.8902,0.0000
3.3300,0.8905,0.0000
3.3400,0.8906,0.0000
3.3500,0.8907,0.0000
3.3600,0.8909,0.0000
3.3700,0.8911,0.0000
3.3800,0.8912,0.0000
3.3900,0.8914,0.0000
