# wavelength (microns), beta, x (microns), y (microns)
0.6352,10.4000,29916.0000,3489.3376
0.6356,10.4000,29898.0000,3484.2583
0.6361,10.4000,29880.0000,3479.1895
0.6366,10.4000,29862.0000,3474.1296
0.6370,10.4000,29844.0000,3469.0786
0.6375,10.4000,29826.0000,3464.0386
0.6379,10.4000,29808.0000,3459.0078
0.6384,10.4000,29790.0000,3453.9875
0.6388,10.4000,29772.0000,3448.9766
0.6393,10.4000,29754.0000,3443.9744
0.6398,10.4000,29736.0000,3438.9827
0.6402,10.4000,29718.0000,3434.0020
0.6407,10.4000,29700.0000,3429.0308
0.6411,10.4000,29682.0000,3424.0679
0.6416,10.4000,29664.0000,3419.1162
0.6421,10.4000,29646.0000,3414.1733
0.6425,10.4000,29628.0000,3409.2415
0.6430,10.4000,29610.0000,3404.3184
0.6434,10.4000,29592.0000,3399.4062
0.6439,10.4000,29574.0000,3394.5049
0.6444,10.4000,29556.0000,3389.6123
0.6448,10.4000,29538.0000,3384.7290
0.6453,10.4000,29520.0000,3379.8564
0.6457,10.4000,29502.0000,3374.9929
0.6462,10.4000,29484.0000,3370.1399
0.6466,10.4000,29466.0000,3365.2979
0.6471,10.4000,29448.0000,3360.4651
0.6476,10.4000,29430.0000,3355.6411
0.6480,10.4000,29412.0000,3350.8296
0.6485,10.4000,29394.0000,3346.0254
0.6489,10.4000,29376.0000,3341.2319
0.6494,10.4000,29358.0000,3336.4495
0.6499,10.4000,29340.0000,3331.6777
0.6503,10.4000,29322.0000,3326.9148
0.6508,10.4000,29304.0000,3322.1609
0.6512,10.4000,29286.0000,3317.4180
0.6517,10.4000,29268.0000,3312.6858
0.6522,10.4000,29250.0000,3307.9624
0.6526,10.4000,29232.0000,3303.2483
0.6531,10.4000,29214.0000,3298.5466
0.6535,10.4000,29196.0000,3293.8542
0.6540,10.4000,29178.0000,3289.1707
0.6545,10.4000,29160.0000,3284.4980
0.6549,10.4000,29142.0000,3279.8359
0.6554,10.4000,29124.0000,3275.1829
