# wavelength (microns), beta, x (microns), y (microns)
0.8625,10.4000,5616.0000,2780.7048
0.8628,10.4000,5598.0000,2780.0984
0.8632,10.4000,5580.0000,2779.4934
0.8635,10.4000,5562.0000,2778.8887
0.8638,10.4000,5544.0000,2778.2839
0.8641,10.4000,5526.0000,2777.6807
0.8644,10.4000,5508.0000,2777.0779
0.8648,10.4000,5490.0000,2776.4746
0.8651,10.4000,5472.0000,2775.8735
0.8654,10.4000,5454.0000,2775.2742
0.8657,10.4000,5436.0000,2774.6748
0.8660,10.4000,5418.0000,2774.0752
0.8664,10.4000,5400.0000,2773.4775
0.8667,10.4000,5382.0000,2772.8818
0.8670,10.4000,5364.0000,2772.2847
0.8673,10.4000,5346.0000,2771.6885
0.8676,10.4000,5328.0000,2771.0947
0.8680,10.4000,5310.0000,2770.5007
0.8683,10.4000,5292.0000,2769.9084
0.8686,10.4000,5274.0000,2769.3164
0.8689,10.4000,5256.0000,2768.7258
0.8692,10.4000,5238.0000,2768.1335
0.8696,10.4000,5220.0000,2767.5449
0.8699,10.4000,5202.0000,2766.9565
0.8702,10.4000,5184.0000,2766.3679
0.8705,10.4000,5166.0000,2765.7810
0.8708,10.4000,5148.0000,2765.1943
0.8712,10.4000,5130.0000,2764.6091
0.8715,10.4000,5112.0000,2764.0242
0.8718,10.4000,5094.0000,2763.4392
0.8721,10.4000,5076.0000,2762.8560
0.8724,10.4000,5058.0000,2762.2747
0.8728,10.4000,5040.0000,2761.6931
0.8731,10.4000,5022.0000,2761.1118
0.8734,10.4000,5004.0000,2760.5322
0.8737,10.4000,4986.0000,2759.9526
0.8740,10.4000,4968.0000,2759.3748
0.8744,10.4000,4950.0000,2758.7969
0.8747,10.4000,4932.0000,2758.2209
0.8750,10.4000,4914.0000,2757.6450
0.8753,10.4000,4896.0000,2757.0708
0.8756,10.4000,4878.0000,2756.4966
0.8760,10.4000,4860.0000,2755.9224
0.8763,10.4000,4842.0000,2755.3499
0.8766,10.4000,4824.0000,2754.7776
0.8769,10.4000,4806.0000,2754.2070
0.8772,10.4000,4788.0000,2753.6382
0.8776,10.4000,4770.0000,2753.0676
0.8779,10.4000,4752.0000,2752.4988
0.8782,10.4000,4734.0000,2751.9319
0.8785,10.4000,4716.0000,2751.3650
0.8788,10.4000,4698.0000,2750.7998
0.8792,10.4000,4680.0000,2750.2344
0.8795,10.4000,4662.0000,2749.6692
0.8798,10.4000,4644.0000,2749.1060
0.8801,10.4000,4626.0000,2748.5442
0.8804,10.4000,4608.0000,2747.9810
0.8808,10.4000,4590.0000,2747.4211
0.8811,10.4000,4572.0000,2746.8611
0.8814,10.4000,4554.0000,2746.3013
0.8817,10.4000,4536.0000,2745.7417
0.8820,10.4000,4518.0000,2745.1853
0.8824,10.4000,4500.0000,2744.6272
0.8827,10.4000,4482.0000,2744.0710
0.8830,10.4000,4464.0000,2743.5168
0.8833,10.4000,4446.0000,2742.9624
0.8836,10.4000,4428.0000,2742.4080
0.8840,10.4000,4410.0000,2741.8555
0.8843,10.4000,4392.0000,2741.3027
0.8846,10.4000,4374.0000,2740.7522
0.8849,10.4000,4356.0000,2740.2012
0.8852,10.4000,4338.0000,2739.6521
0.8856,10.4000,4320.0000,2739.1030
0.8859,10.4000,4302.0000,2738.5559
0.8862,10.4000,4284.0000,2738.0088
0.8865,10.4000,4266.0000,2737.4617
0.8868,10.4000,4248.0000,2736.9163
0.8872,10.4000,4230.0000,2736.3728
0.8875,10.4000,4212.0000,2735.8289
0.8878,10.4000,4194.0000,2735.2854
0.8881,10.4000,4176.0000,2734.7437
0.8884,10.4000,4158.0000,2734.2019
0.8888,10.4000,4140.0000,2733.6619
0.8891,10.4000,4122.0000,2733.1218
0.8894,10.4000,4104.0000,2732.5835
0.8897,10.4000,4086.0000,2732.0454
0.8900,10.4000,4068.0000,2731.5090
0.8904,10.4000,4050.0000,2730.9727
0.8907,10.4000,4032.0000,2730.4363
0.8910,10.4000,4014.0000,2729.9014
0.8913,10.4000,3996.0000,2729.3669
0.8916,10.4000,3978.0000,2728.8342
0.8920,10.4000,3960.0000,2728.3013
0.8923,10.4000,3942.0000,2727.7705
0.8926,10.4000,3924.0000,2727.2412
0.8929,10.4000,3906.0000,2726.7102
0.8932,10.4000,3888.0000,2726.1809
0.8936,10.4000,3870.0000,2725.6536
0.8939,10.4000,3852.0000,2725.1262
0.8942,10.4000,3834.0000,2724.6006
0.8945,10.4000,3816.0000,2724.0750
0.8948,10.4000,3798.0000,2723.5496
0.8952,10.4000,3780.0000,2723.0256
0.8955,10.4000,3762.0000,2722.5017
0.8958,10.4000,3744.0000,2721.9797
0.8961,10.4000,3726.0000,2721.4595
0.8964,10.4000,3708.0000,2720.9377
0.8968,10.4000,3690.0000,2720.4192
0.8971,10.4000,3672.0000,2719.8989
0.8974,10.4000,3654.0000,2719.3823
0.8977,10.4000,3636.0000,2718.8640
0.8980,10.4000,3618.0000,2718.3474
0.8984,10.4000,3600.0000,2717.8325
0.8987,10.4000,3582.0000,2717.3179
0.8990,10.4000,3564.0000,2716.8030
0.8993,10.4000,3546.0000,2716.2900
0.8996,10.4000,3528.0000,2715.7769
0.9000,10.4000,3510.0000,2715.2659
0.9003,10.4000,3492.0000,2714.7546
0.9006,10.4000,3474.0000,2714.2451
0.9009,10.4000,3456.0000,2713.7375
0.9012,10.4000,3438.0000,2713.2280
0.9016,10.4000,3420.0000,2712.7205
0.9019,10.4000,3402.0000,2712.2148
0.9022,10.4000,3384.0000,2711.7090
0.9025,10.4000,3366.0000,2711.2051
0.9028,10.4000,3348.0000,2710.7009
0.9032,10.4000,3330.0000,2710.1970
0.9035,10.4000,3312.0000,2709.6948
0.9038,10.4000,3294.0000,2709.1926
0.9041,10.4000,3276.0000,2708.6921
0.9044,10.4000,3258.0000,2708.1936
0.9048,10.4000,3240.0000,2707.6931
0.9051,10.4000,3222.0000,2707.1946
0.9054,10.4000,3204.0000,2706.6978
0.9057,10.4000,3186.0000,2706.2009
0.9060,10.4000,3168.0000,2705.7061
0.9064,10.4000,3150.0000,2705.2112
0.9067,10.4000,3132.0000,2704.7178
0.9070,10.4000,3114.0000,2704.2246
0.9073,10.4000,3096.0000,2703.7314
0.9076,10.4000,3078.0000,2703.2397
0.9080,10.4000,3060.0000,2702.7505
0.9083,10.4000,3042.0000,2702.2590
0.9086,10.4000,3024.0000,2701.7712
0.9089,10.4000,3006.0000,2701.2834
0.9092,10.4000,2988.0000,2700.7957
0.9096,10.4000,2970.0000,2700.3096
0.9099,10.4000,2952.0000,2699.8237
0.9102,10.4000,2934.0000,2699.3394
0.9105,10.4000,2916.0000,2698.8552
0.9108,10.4000,2898.0000,2698.3711
0.9112,10.4000,2880.0000,2697.8887
0.9115,10.4000,2862.0000,2697.4080
0.9118,10.4000,2844.0000,2696.9275
0.9121,10.4000,2826.0000,2696.4468
0.9124,10.4000,2808.0000,2695.9680
0.9128,10.4000,2790.0000,2695.4910
0.9131,10.4000,2772.0000,2695.0122
0.9134,10.4000,2754.0000,2694.5371
0.9137,10.4000,2736.0000,2694.0601
0.9140,10.4000,2718.0000,2693.5867
0.9144,10.4000,2700.0000,2693.1113
0.9147,10.4000,2682.0000,2692.6396
0.9150,10.4000,2664.0000,2692.1665
0.9153,10.4000,2646.0000,2691.6948
0.9156,10.4000,2628.0000,2691.2249
0.9160,10.4000,2610.0000,2690.7554
0.9163,10.4000,2592.0000,2690.2874
0.9166,10.4000,2574.0000,2689.8174
0.9169,10.4000,2556.0000,2689.3513
0.9172,10.4000,2538.0000,2688.8853
0.9176,10.4000,2520.0000,2688.4187
0.9179,10.4000,2502.0000,2687.9543
0.9182,10.4000,2484.0000,2687.4897
0.9185,10.4000,2466.0000,2687.0273
0.9188,10.4000,2448.0000,2686.5649
0.9192,10.4000,2430.0000,2686.1040
0.9195,10.4000,2412.0000,2685.6431
0.9198,10.4000,2394.0000,2685.1841
0.9201,10.4000,2376.0000,2684.7251
0.9204,10.4000,2358.0000,2684.2681
0.9208,10.4000,2340.0000,2683.8108
0.9211,10.4000,2322.0000,2683.3535
0.9214,10.4000,2304.0000,2682.8982
0.9217,10.4000,2286.0000,2682.4446
0.9220,10.4000,2268.0000,2681.9910
0.9224,10.4000,2250.0000,2681.5376
0.9227,10.4000,2232.0000,2681.0857
0.9230,10.4000,2214.0000,2680.6338
0.9233,10.4000,2196.0000,2680.1836
0.9236,10.4000,2178.0000,2679.7339
0.9240,10.4000,2160.0000,2679.2856
0.9243,10.4000,2142.0000,2678.8374
0.9246,10.4000,2124.0000,2678.3911
0.9249,10.4000,2106.0000,2677.9446
0.9252,10.4000,2088.0000,2677.5000
0.9256,10.4000,2070.0000,2677.0554
0.9259,10.4000,2052.0000,2676.6106
0.9262,10.4000,2034.0000,2676.1680
0.9265,10.4000,2016.0000,2675.7271
0.9268,10.4000,1998.0000,2675.2859
0.9272,10.4000,1980.0000,2674.8452
0.9275,10.4000,1962.0000,2674.4058
0.9278,10.4000,1944.0000,2673.9666
0.9281,10.4000,1926.0000,2673.5293
0.9284,10.4000,1908.0000,2673.0918
0.9288,10.4000,1890.0000,2672.6562
0.9291,10.4000,1872.0000,2672.2224
0.9294,10.4000,1854.0000,2671.7869
0.9297,10.4000,1836.0000,2671.3530
0.9300,10.4000,1818.0000,2670.9211
0.9304,10.4000,1800.0000,2670.4890
0.9307,10.4000,1782.0000,2670.0586
0.9310,10.4000,1764.0000,2669.6287
0.9313,10.4000,1746.0000,2669.2002
0.9316,10.4000,1728.0000,2668.7720
0.9320,10.4000,1710.0000,2668.3435
0.9323,10.4000,1692.0000,2667.9170
0.9326,10.4000,1674.0000,2667.4900
0.9329,10.4000,1656.0000,2667.0654
0.9332,10.4000,1638.0000,2666.6426
0.9336,10.4000,1620.0000,2666.2195
0.9339,10.4000,1602.0000,2665.7964
0.9342,10.4000,1584.0000,2665.3752
0.9345,10.4000,1566.0000,2664.9539
0.9348,10.4000,1548.0000,2664.5344
0.9352,10.4000,1530.0000,2664.1150
0.9355,10.4000,1512.0000,2663.6975
0.9358,10.4000,1494.0000,2663.2798
0.9361,10.4000,1476.0000,2662.8623
0.9364,10.4000,1458.0000,2662.4465
0.9368,10.4000,1440.0000,2662.0327
0.9371,10.4000,1422.0000,2661.6187
0.9374,10.4000,1404.0000,2661.2046
0.9377,10.4000,1386.0000,2660.7925
0.9380,10.4000,1368.0000,2660.3818
0.9384,10.4000,1350.0000,2659.9717
0.9387,10.4000,1332.0000,2659.5613
0.9390,10.4000,1314.0000,2659.1526
0.9393,10.4000,1296.0000,2658.7458
0.9396,10.4000,1278.0000,2658.3372
0.9400,10.4000,1260.0000,2657.9321
0.9403,10.4000,1242.0000,2657.5254
0.9406,10.4000,1224.0000,2657.1223
0.9409,10.4000,1206.0000,2656.7173
0.9412,10.4000,1188.0000,2656.3140
0.9416,10.4000,1170.0000,2655.9126
0.9419,10.4000,1152.0000,2655.5112
0.9422,10.4000,1134.0000,2655.1116
0.9425,10.4000,1116.0000,2654.7119
0.9428,10.4000,1098.0000,2654.3123
0.9432,10.4000,1080.0000,2653.9165
0.9435,10.4000,1062.0000,2653.5186
0.9438,10.4000,1044.0000,2653.1228
0.9441,10.4000,1026.0000,2652.7283
0.9444,10.4000,1008.0000,2652.3325
0.9448,10.4000,990.0000,2651.9399
0.9451,10.4000,972.0000,2651.5476
0.9454,10.4000,954.0000,2651.1553
0.9457,10.4000,936.0000,2650.7644
0.9460,10.4000,918.0000,2650.3740
0.9464,10.4000,900.0000,2649.9854
0.9467,10.4000,882.0000,2649.5964
0.9470,10.4000,864.0000,2649.2095
0.9473,10.4000,846.0000,2648.8223
0.9476,10.4000,828.0000,2648.4373
0.9480,10.4000,810.0000,2648.0520
0.9483,10.4000,792.0000,2647.6685
0.9486,10.4000,774.0000,2647.2852
0.9489,10.4000,756.0000,2646.9016
0.9492,10.4000,738.0000,2646.5203
0.9496,10.4000,720.0000,2646.1404
0.9499,10.4000,702.0000,2645.7605
0.9502,10.4000,684.0000,2645.3826
0.9505,10.4000,666.0000,2645.0027
0.9508,10.4000,648.0000,2644.6267
0.9512,10.4000,630.0000,2644.2505
0.9515,10.4000,612.0000,2643.8740
0.9518,10.4000,594.0000,2643.4998
0.9521,10.4000,576.0000,2643.1255
0.9524,10.4000,558.0000,2642.7527
0.9528,10.4000,540.0000,2642.3818
0.9531,10.4000,522.0000,2642.0095
0.9534,10.4000,504.0000,2641.6404
0.9537,10.4000,486.0000,2641.2695
0.9540,10.4000,468.0000,2640.9023
0.9544,10.4000,450.0000,2640.5334
0.9547,10.4000,432.0000,2640.1663
0.9550,10.4000,414.0000,2639.8008
0.9553,10.4000,396.0000,2639.4353
0.9556,10.4000,378.0000,2639.0718
0.9560,10.4000,360.0000,2638.7080
0.9563,10.4000,342.0000,2638.3464
0.9566,10.4000,324.0000,2637.9846
0.9569,10.4000,306.0000,2637.6230
0.9572,10.4000,288.0000,2637.2629
0.9576,10.4000,270.0000,2636.9048
0.9579,10.4000,252.0000,2636.5447
0.9582,10.4000,234.0000,2636.1880
0.9585,10.4000,216.0000,2635.8318
0.9588,10.4000,198.0000,2635.4753
0.9592,10.4000,180.0000,2635.1208
0.9595,10.4000,162.0000,2634.7661
0.9598,10.4000,144.0000,2634.4133
0.9601,10.4000,126.0000,2634.0623
0.9604,10.4000,108.0000,2633.7095
0.9608,10.4000,90.0000,2633.3606
0.9611,10.4000,72.0000,2633.0095
0.9614,10.4000,54.0000,2632.6621
