# wavelength (microns), beta, x (microns), y (microns)
0.9744,10.4000,34128.0000,829.8072
0.9754,10.4000,34110.0000,828.0252
0.9764,10.4000,34092.0000,826.2522
0.9773,10.4000,34074.0000,824.4865
0.9783,10.4000,34056.0000,822.7278
0.9793,10.4000,34038.0000,820.9782
0.9803,10.4000,34020.0000,819.2358
0.9812,10.4000,34002.0000,817.5005
0.9822,10.4000,33984.0000,815.7726
0.9832,10.4000,33966.0000,814.0536
0.9841,10.4000,33948.0000,812.3418
0.9851,10.4000,33930.0000,810.6390
0.9861,10.4000,33912.0000,808.9416
0.9870,10.4000,33894.0000,807.2532
0.9880,10.4000,33876.0000,805.5720
0.9890,10.4000,33858.0000,803.8980
0.9900,10.4000,33840.0000,802.2330
0.9909,10.4000,33822.0000,800.5734
0.9919,10.4000,33804.0000,798.9229
0.9929,10.4000,33786.0000,797.2794
0.9938,10.4000,33768.0000,795.6432
0.9948,10.4000,33750.0000,794.0142
0.9958,10.4000,33732.0000,792.3942
0.9968,10.4000,33714.0000,790.7796
0.9977,10.4000,33696.0000,789.1740
0.9987,10.4000,33678.0000,787.5738
0.9997,10.4000,33660.0000,785.9826
1.0006,10.4000,33642.0000,784.3986
1.0016,10.4000,33624.0000,782.8218
1.0026,10.4000,33606.0000,781.2504
1.0035,10.4000,33588.0000,779.6880
1.0045,10.4000,33570.0000,778.1328
1.0055,10.4000,33552.0000,776.5848
1.0065,10.4000,33534.0000,775.0439
1.0074,10.4000,33516.0000,773.5104
1.0084,10.4000,33498.0000,771.9840
1.0094,10.4000,33480.0000,770.4648
1.0103,10.4000,33462.0000,768.9510
1.0113,10.4000,33444.0000,767.4462
1.0123,10.4000,33426.0000,765.9486
1.0132,10.4000,33408.0000,764.4564
1.0142,10.4000,33390.0000,762.9732
1.0152,10.4000,33372.0000,761.4954
1.0162,10.4000,33354.0000,760.0248
1.0171,10.4000,33336.0000,758.5614
1.0181,10.4000,33318.0000,757.1052
1.0191,10.4000,33300.0000,755.6562
1.0200,10.4000,33282.0000,754.2126
1.0210,10.4000,33264.0000,752.7780
1.0220,10.4000,33246.0000,751.3488
1.0229,10.4000,33228.0000,749.9268
1.0239,10.4000,33210.0000,748.5102
1.0249,10.4000,33192.0000,747.1026
1.0258,10.4000,33174.0000,745.7004
1.0268,10.4000,33156.0000,744.3054
1.0278,10.4000,33138.0000,742.9176
1.0288,10.4000,33120.0000,741.5352
1.0297,10.4000,33102.0000,740.1619
1.0307,10.4000,33084.0000,738.7920
1.0317,10.4000,33066.0000,737.4312
1.0326,10.4000,33048.0000,736.0758
1.0336,10.4000,33030.0000,734.7276
1.0346,10.4000,33012.0000,733.3866
1.0356,10.4000,32994.0000,732.0510
1.0365,10.4000,32976.0000,730.7226
1.0375,10.4000,32958.0000,729.3997
1.0385,10.4000,32940.0000,728.0838
1.0394,10.4000,32922.0000,726.7752
1.0404,10.4000,32904.0000,725.4720
