# wavelength (microns), beta, x (microns), y (microns)
0.8309,10.4000,36792.0000,1374.1199
0.8318,10.4000,36774.0000,1370.8890
0.8328,10.4000,36756.0000,1367.6707
0.8338,10.4000,36738.0000,1364.4629
0.8348,10.4000,36720.0000,1361.2679
0.8357,10.4000,36702.0000,1358.0837
0.8367,10.4000,36684.0000,1354.9122
0.8377,10.4000,36666.0000,1351.7532
0.8386,10.4000,36648.0000,1348.6050
0.8396,10.4000,36630.0000,1345.4675
0.8406,10.4000,36612.0000,1342.3428
0.8415,10.4000,36594.0000,1339.2288
0.8425,10.4000,36576.0000,1336.1274
0.8435,10.4000,36558.0000,1333.0369
0.8445,10.4000,36540.0000,1329.9587
0.8454,10.4000,36522.0000,1326.8916
0.8464,10.4000,36504.0000,1323.8352
0.8474,10.4000,36486.0000,1320.7915
0.8483,10.4000,36468.0000,1317.7584
0.8493,10.4000,36450.0000,1314.7362
0.8503,10.4000,36432.0000,1311.7267
0.8512,10.4000,36414.0000,1308.7278
0.8522,10.4000,36396.0000,1305.7397
0.8532,10.4000,36378.0000,1302.7644
0.8542,10.4000,36360.0000,1299.7980
0.8551,10.4000,36342.0000,1296.8442
0.8561,10.4000,36324.0000,1293.9012
0.8571,10.4000,36306.0000,1290.9707
0.8580,10.4000,36288.0000,1288.0494
0.8590,10.4000,36270.0000,1285.1406
0.8600,10.4000,36252.0000,1282.2407
0.8610,10.4000,36234.0000,1279.3535
0.8619,10.4000,36216.0000,1276.4773
0.8629,10.4000,36198.0000,1273.6116
0.8639,10.4000,36180.0000,1270.7567
0.8648,10.4000,36162.0000,1267.9128
0.8658,10.4000,36144.0000,1265.0814
0.8668,10.4000,36126.0000,1262.2590
0.8677,10.4000,36108.0000,1259.4474
0.8687,10.4000,36090.0000,1256.6467
0.8697,10.4000,36072.0000,1253.8566
0.8707,10.4000,36054.0000,1251.0774
0.8716,10.4000,36036.0000,1248.3088
0.8726,10.4000,36018.0000,1245.5513
0.8736,10.4000,36000.0000,1242.8046
0.8745,10.4000,35982.0000,1240.0686
0.8755,10.4000,35964.0000,1237.3416
0.8765,10.4000,35946.0000,1234.6272
0.8774,10.4000,35928.0000,1231.9219
0.8784,10.4000,35910.0000,1229.2273
0.8794,10.4000,35892.0000,1226.5433
0.8803,10.4000,35874.0000,1223.8704
0.8813,10.4000,35856.0000,1221.2064
0.8823,10.4000,35838.0000,1218.5532
0.8833,10.4000,35820.0000,1215.9108
0.8842,10.4000,35802.0000,1213.2793
0.8852,10.4000,35784.0000,1210.6565
0.8862,10.4000,35766.0000,1208.0448
0.8871,10.4000,35748.0000,1205.4438
0.8881,10.4000,35730.0000,1202.8535
0.8891,10.4000,35712.0000,1200.2725
0.8900,10.4000,35694.0000,1197.7020
0.8910,10.4000,35676.0000,1195.1406
0.8920,10.4000,35658.0000,1192.5901
0.8930,10.4000,35640.0000,1190.0483
0.8939,10.4000,35622.0000,1187.5177
0.8949,10.4000,35604.0000,1184.9976
0.8959,10.4000,35586.0000,1182.4866
0.8968,10.4000,35568.0000,1179.9863
0.8978,10.4000,35550.0000,1177.4951
0.8988,10.4000,35532.0000,1175.0146
0.8998,10.4000,35514.0000,1172.5433
0.9007,10.4000,35496.0000,1170.0828
