# wavelength (microns), beta, x (microns), y (microns)
0.7265,0.0000,20483.9531,0.0000
0.7280,0.0000,20526.2852,0.0000
0.7295,0.0000,20568.6172,0.0000
0.7310,0.0000,20610.9512,0.0000
0.7325,0.0000,20653.2832,0.0000
0.7340,0.0000,20695.6191,0.0000
0.7355,0.0000,20737.9512,0.0000
0.7370,0.0000,20780.2852,0.0000
0.7385,0.0000,20822.6230,0.0000
0.7400,0.0000,20864.9590,0.0000
0.7415,0.0000,20907.2969,0.0000
0.7430,0.0000,20949.6309,0.0000
0.7445,0.0000,20991.9727,0.0000
0.7460,0.0000,21034.3125,0.0000
0.7475,0.0000,21076.6504,0.0000
0.7490,0.0000,21118.9922,0.0000
0.7505,0.0000,21161.3340,0.0000
0.7520,0.0000,21203.6719,0.0000
0.7535,0.0000,21246.0156,0.0000
0.7550,0.0000,21288.3594,0.0000
0.7565,0.0000,21330.7031,0.0000
0.7580,0.0000,21373.0469,0.0000
0.7595,0.0000,21415.3926,0.0000
0.7610,0.0000,21457.7363,0.0000
0.7625,0.0000,21500.0820,0.0000
0.7640,0.0000,21542.4316,0.0000
0.7655,0.0000,21584.7773,0.0000
0.7670,0.0000,21627.1270,0.0000
0.7685,0.0000,21669.4727,0.0000
0.7700,0.0000,21711.8242,0.0000
0.7715,0.0000,21754.1758,0.0000
0.7730,0.0000,21796.5273,0.0000
0.7745,0.0000,21838.8789,0.0000
0.7760,0.0000,21881.2305,0.0000
0.7775,0.0000,21923.5820,0.0000
0.7790,0.0000,21965.9375,0.0000
0.7805,0.0000,22008.2910,0.0000
0.7820,0.0000,22050.6465,0.0000
0.7835,0.0000,22093.0020,0.0000
0.7850,0.0000,22135.3594,0.0000
0.7865,0.0000,22177.7168,0.0000
0.7880,0.0000,22220.0723,0.0000
0.7895,0.0000,22262.4316,0.0000
0.7910,0.0000,22304.7930,0.0000
0.7925,0.0000,22347.1543,0.0000
0.7940,0.0000,22389.5156,0.0000
0.7955,0.0000,22431.8730,0.0000
0.7970,0.0000,22474.2363,0.0000
0.7985,0.0000,22516.5996,0.0000
0.8000,0.0000,22558.9629,0.0000
0.8015,0.0000,22601.3262,0.0000
0.8030,0.0000,22643.6914,0.0000
0.8045,0.0000,22686.0605,0.0000
0.8060,0.0000,22728.4258,0.0000
0.8075,0.0000,22770.7930,0.0000
0.8090,0.0000,22813.1602,0.0000
0.8105,0.0000,22855.5312,0.0000
0.8120,0.0000,22897.8984,0.0000
0.8135,0.0000,22940.2695,0.0000
0.8150,0.0000,22982.6406,0.0000
0.8165,0.0000,23025.0117,0.0000
0.8180,0.0000,23067.3867,0.0000
0.8195,0.0000,23109.7578,0.0000
0.8210,0.0000,23152.1309,0.0000
0.8225,0.0000,23194.5078,0.0000
0.8240,0.0000,23236.8809,0.0000
0.8255,0.0000,23279.2598,0.0000
0.8270,0.0000,23321.6387,0.0000
0.8285,0.0000,23364.0156,0.0000
0.8300,0.0000,23406.3926,0.0000
0.8315,0.0000,23448.7734,0.0000
0.8330,0.0000,23491.1543,0.0000
0.8345,0.0000,23533.5371,0.0000
0.8360,0.0000,23575.9180,0.0000
0.8375,0.0000,23618.2988,0.0000
0.8390,0.0000,23660.6816,0.0000
0.8405,0.0000,23703.0664,0.0000
0.8420,0.0000,23745.4492,0.0000
0.8435,0.0000,23787.8379,0.0000
0.8450,0.0000,23830.2246,0.0000
0.8465,0.0000,23872.6094,0.0000
0.8480,0.0000,23914.9980,0.0000
0.8495,0.0000,23957.3867,0.0000
0.8510,0.0000,23999.7793,0.0000
0.8525,0.0000,24042.1680,0.0000
0.8540,0.0000,24084.5586,0.0000
0.8555,0.0000,24126.9492,0.0000
0.8570,0.0000,24169.3438,0.0000
0.8585,0.0000,24211.7383,0.0000
0.8600,0.0000,24254.1328,0.0000
0.8615,0.0000,24296.5273,0.0000
0.8630,0.0000,24338.9219,0.0000
0.8645,0.0000,24381.3203,0.0000
0.8660,0.0000,24423.7188,0.0000
0.8675,0.0000,24466.1172,0.0000
0.8690,0.0000,24508.5156,0.0000
0.8705,0.0000,24550.9160,0.0000
0.8720,0.0000,24593.3164,0.0000
0.8735,0.0000,24635.7188,0.0000
0.8750,0.0000,24678.1211,0.0000
0.8765,0.0000,24720.5254,0.0000
0.8780,0.0000,24762.9316,0.0000
0.8795,0.0000,24805.3359,0.0000
0.8810,0.0000,24847.7402,0.0000
0.8825,0.0000,24890.1484,0.0000
0.8840,0.0000,24932.5547,0.0000
0.8855,0.0000,24974.9648,0.0000
0.8870,0.0000,25017.3750,0.0000
0.8885,0.0000,25059.7832,0.0000
0.8900,0.0000,25102.1953,0.0000
0.8915,0.0000,25144.6094,0.0000
0.8930,0.0000,25187.0215,0.0000
0.8945,0.0000,25229.4336,0.0000
0.8960,0.0000,25271.8477,0.0000
0.8975,0.0000,25314.2637,0.0000
0.8990,0.0000,25356.6797,0.0000
0.9005,0.0000,25399.0977,0.0000
0.9020,0.0000,25441.5176,0.0000
0.9035,0.0000,25483.9336,0.0000
0.9050,0.0000,25526.3535,0.0000
0.9065,0.0000,25568.7734,0.0000
0.9080,0.0000,25611.1953,0.0000
0.9095,0.0000,25653.6191,0.0000
0.9110,0.0000,25696.0410,0.0000
0.9125,0.0000,25738.4668,0.0000
0.9140,0.0000,25780.8906,0.0000
0.9155,0.0000,25823.3164,0.0000
0.9170,0.0000,25865.7461,0.0000
0.9185,0.0000,25908.1719,0.0000
0.9200,0.0000,25950.6016,0.0000
0.9215,0.0000,25993.0312,0.0000
0.9230,0.0000,26035.4590,0.0000
0.9245,0.0000,26077.8906,0.0000
0.9260,0.0000,26120.3242,0.0000
0.9275,0.0000,26162.7578,0.0000
0.9290,0.0000,26205.1914,0.0000
0.9305,0.0000,26247.6250,0.0000
0.9320,0.0000,26290.0605,0.0000
0.9335,0.0000,26332.5000,0.0000
0.9350,0.0000,26374.9375,0.0000
0.9365,0.0000,26417.3750,0.0000
0.9380,0.0000,26459.8125,0.0000
0.9395,0.0000,26502.2539,0.0000
0.9410,0.0000,26544.6953,0.0000
0.9425,0.0000,26587.1387,0.0000
0.9440,0.0000,26629.5801,0.0000
0.9455,0.0000,26672.0273,0.0000
0.9470,0.0000,26714.4688,0.0000
0.9485,0.0000,26756.9141,0.0000
0.9500,0.0000,26799.3613,0.0000
0.9515,0.0000,26841.8125,0.0000
0.9530,0.0000,26884.2598,0.0000
0.9545,0.0000,26926.7109,0.0000
0.9560,0.0000,26969.1602,0.0000
0.9575,0.0000,27011.6094,0.0000
0.9590,0.0000,27054.0664,0.0000
0.9605,0.0000,27096.5176,0.0000
0.9620,0.0000,27138.9727,0.0000
0.9635,0.0000,27181.4277,0.0000
0.9650,0.0000,27223.8828,0.0000
0.9665,0.0000,27266.3418,0.0000
0.9680,0.0000,27308.7988,0.0000
0.9695,0.0000,27351.2598,0.0000
0.9710,0.0000,27393.7188,0.0000
0.9725,0.0000,27436.1797,0.0000
0.9740,0.0000,27478.6406,0.0000
0.9755,0.0000,27521.1055,0.0000
0.9770,0.0000,27563.5703,0.0000
0.9785,0.0000,27606.0371,0.0000
0.9800,0.0000,27648.5000,0.0000
0.9815,0.0000,27690.9668,0.0000
0.9830,0.0000,27733.4336,0.0000
0.9845,0.0000,27775.9023,0.0000
0.9860,0.0000,27818.3730,0.0000
0.9875,0.0000,27860.8477,0.0000
0.9890,0.0000,27903.3184,0.0000
0.9905,0.0000,27945.7891,0.0000
0.9920,0.0000,27988.2637,0.0000
0.9935,0.0000,28030.7383,0.0000
0.9950,0.0000,28073.2129,0.0000
0.9965,0.0000,28115.6914,0.0000
0.9980,0.0000,28158.1699,0.0000
0.9995,0.0000,28200.6484,0.0000
1.0010,0.0000,28243.1289,0.0000
1.0025,0.0000,28285.6094,0.0000
1.0040,0.0000,28328.0898,0.0000
1.0055,0.0000,28370.5723,0.0000
1.0070,0.0000,28413.0566,0.0000
1.0085,0.0000,28455.5410,0.0000
1.0100,0.0000,28498.0254,0.0000
1.0115,0.0000,28540.5137,0.0000
1.0130,0.0000,28583.0020,0.0000
1.0145,0.0000,28625.4922,0.0000
1.0160,0.0000,28667.9824,0.0000
1.0175,0.0000,28710.4727,0.0000
1.0190,0.0000,28752.9648,0.0000
1.0205,0.0000,28795.4570,0.0000
1.0220,0.0000,28837.9492,0.0000
1.0235,0.0000,28880.4434,0.0000
1.0250,0.0000,28922.9395,0.0000
1.0265,0.0000,28965.4395,0.0000
1.0280,0.0000,29007.9355,0.0000
1.0295,0.0000,29050.4355,0.0000
1.0310,0.0000,29092.9375,0.0000
1.0325,0.0000,29135.4375,0.0000
1.0340,0.0000,29177.9414,0.0000
1.0355,0.0000,29220.4453,0.0000
1.0370,0.0000,29262.9453,0.0000
1.0385,0.0000,29305.4492,0.0000
1.0400,0.0000,29347.9590,0.0000
1.0415,0.0000,29390.4648,0.0000
1.0430,0.0000,29432.9746,0.0000
1.0445,0.0000,29475.4844,0.0000
1.0460,0.0000,29517.9941,0.0000
1.0475,0.0000,29560.5078,0.0000
1.0490,0.0000,29603.0195,0.0000
1.0505,0.0000,29645.5352,0.0000
1.0520,0.0000,29688.0488,0.0000
1.0535,0.0000,29730.5664,0.0000
1.0550,0.0000,29773.0820,0.0000
1.0565,0.0000,29815.5996,0.0000
1.0580,0.0000,29858.1172,0.0000
1.0595,0.0000,29900.6367,0.0000
1.0610,0.0000,29943.1602,0.0000
1.0625,0.0000,29985.6816,0.0000
1.0640,0.0000,30028.2070,0.0000
1.0655,0.0000,30070.7344,0.0000
1.0670,0.0000,30113.2598,0.0000
1.0685,0.0000,30155.7852,0.0000
1.0700,0.0000,30198.3105,0.0000
1.0715,0.0000,30240.8398,0.0000
1.0730,0.0000,30283.3691,0.0000
1.0745,0.0000,30325.9023,0.0000
1.0760,0.0000,30368.4336,0.0000
1.0775,0.0000,30410.9668,0.0000
1.0790,0.0000,30453.5020,0.0000
1.0805,0.0000,30496.0391,0.0000
1.0820,0.0000,30538.5762,0.0000
1.0835,0.0000,30581.1133,0.0000
1.0850,0.0000,30623.6523,0.0000
1.0865,0.0000,30666.1934,0.0000
1.0880,0.0000,30708.7324,0.0000
1.0895,0.0000,30751.2715,0.0000
1.0910,0.0000,30793.8164,0.0000
1.0925,0.0000,30836.3594,0.0000
1.0940,0.0000,30878.9062,0.0000
1.0955,0.0000,30921.4531,0.0000
1.0970,0.0000,30964.0020,0.0000
1.0985,0.0000,31006.5488,0.0000
1.1000,0.0000,31049.1016,0.0000
1.1015,0.0000,31091.6523,0.0000
1.1030,0.0000,31134.2051,0.0000
1.1045,0.0000,31176.7598,0.0000
1.1060,0.0000,31219.3105,0.0000
1.1075,0.0000,31261.8652,0.0000
1.1090,0.0000,31304.4238,0.0000
1.1105,0.0000,31346.9805,0.0000
1.1120,0.0000,31389.5410,0.0000
1.1135,0.0000,31432.0996,0.0000
1.1150,0.0000,31474.6602,0.0000
1.1165,0.0000,31517.2266,0.0000
1.1180,0.0000,31559.7930,0.0000
1.1195,0.0000,31602.3535,0.0000
1.1210,0.0000,31644.9199,0.0000
1.1225,0.0000,31687.4863,0.0000
