# wavelength (microns), transmission, emissivity
2.7381,0.7280,0.0
2.7475,0.7269,0.0
2.7569,0.7258,0.0
2.7663,0.7247,0.0
2.7758,0.7236,0.0
2.7852,0.7226,0.0
2.7946,0.7217,0.0
2.8040,0.7209,0.0
2.8134,0.7204,0.0
2.8228,0.7197,0.0
2.8323,0.7189,0.0
2.8417,0.7182,0.0
2.8511,0.7176,0.0
2.8605,0.7172,0.0
2.8699,0.7169,0.0
2.8794,0.7165,0.0
2.8888,0.7161,0.0
2.8982,0.7159,0.0
2.9076,0.7158,0.0
2.9170,0.7157,0.0
2.9265,0.7156,0.0
2.9359,0.7153,0.0
2.9453,0.7152,0.0
2.9547,0.7152,0.0
2.9641,0.7155,0.0
2.9735,0.7159,0.0
2.9830,0.7162,0.0
2.9924,0.7164,0.0
3.0018,0.7165,0.0
3.0112,0.7167,0.0
3.0206,0.7169,0.0
3.0301,0.7172,0.0
3.0395,0.7176,0.0
3.0489,0.7179,0.0
3.0583,0.7183,0.0
3.0677,0.7185,0.0
3.0772,0.7189,0.0
3.0866,0.7192,0.0
3.0960,0.7196,0.0
3.1054,0.7199,0.0
3.1148,0.7202,0.0
3.1242,0.7205,0.0
3.1337,0.7208,0.0
3.1431,0.7210,0.0
3.1525,0.7211,0.0
3.1619,0.7215,0.0
3.1713,0.7219,0.0
3.1808,0.7223,0.0
3.1902,0.7227,0.0
3.1996,0.7228,0.0
3.2090,0.7229,0.0
3.2184,0.7229,0.0
3.2279,0.7232,0.0
3.2373,0.7237,0.0
3.2467,0.7241,0.0
3.2561,0.7244,0.0
3.2655,0.7246,0.0
3.2749,0.7250,0.0
3.2844,0.7254,0.0
3.2938,0.7257,0.0
3.3032,0.7260,0.0
3.3126,0.7263,0.0
3.3220,0.7265,0.0
3.3315,0.7267,0.0
3.3409,0.7269,0.0
3.3503,0.7273,0.0
3.3597,0.7278,0.0
3.3691,0.7282,0.0
3.3786,0.7286,0.0
3.3880,0.7288,0.0
3.3974,0.7292,0.0
3.4068,0.7295,0.0
3.4162,0.7298,0.0
3.4257,0.7301,0.0
3.4351,0.7304,0.0
3.4445,0.7307,0.0
3.4539,0.7312,0.0
3.4633,0.7317,0.0
3.4727,0.7320,0.0
3.4822,0.7322,0.0
3.4916,0.7324,0.0
3.5010,0.7327,0.0
3.5104,0.7331,0.0
3.5198,0.7333,0.0
3.5293,0.7336,0.0
3.5387,0.7339,0.0
3.5481,0.7343,0.0
3.5575,0.7346,0.0
3.5669,0.7349,0.0
3.5764,0.7351,0.0
3.5858,0.7354,0.0
3.5952,0.7355,0.0
3.6046,0.7356,0.0
3.6140,0.7359,0.0
3.6234,0.7362,0.0
3.6329,0.7366,0.0
3.6423,0.7368,0.0
3.6517,0.7370,0.0
3.6611,0.7372,0.0
3.6705,0.7376,0.0
3.6800,0.7380,0.0
3.6894,0.7383,0.0
3.6988,0.7384,0.0
3.7082,0.7385,0.0
3.7176,0.7386,0.0
3.7271,0.7385,0.0
3.7365,0.7385,0.0
3.7459,0.7384,0.0
3.7553,0.7383,0.0
3.7647,0.7383,0.0
3.7741,0.7384,0.0
3.7836,0.7384,0.0
3.7930,0.7385,0.0
3.8024,0.7387,0.0
3.8118,0.7387,0.0
3.8212,0.7389,0.0
3.8307,0.7391,0.0
3.8401,0.7392,0.0
3.8495,0.7393,0.0
3.8589,0.7393,0.0
3.8683,0.7393,0.0
3.8778,0.7393,0.0
3.8872,0.7394,0.0
3.8966,0.7394,0.0
3.9060,0.7394,0.0
3.9154,0.7392,0.0
3.9248,0.7390,0.0
3.9343,0.7387,0.0
3.9437,0.7386,0.0
3.9531,0.7386,0.0
3.9625,0.7388,0.0
3.9719,0.7390,0.0
3.9814,0.7393,0.0
3.9908,0.7395,0.0
4.0002,0.7397,0.0
4.0096,0.7399,0.0
4.0190,0.7401,0.0
4.0285,0.7403,0.0
4.0379,0.7405,0.0
4.0473,0.7408,0.0
4.0567,0.7409,0.0
4.0661,0.7410,0.0
4.0756,0.7410,0.0
4.0850,0.7411,0.0
4.0944,0.7412,0.0
4.1038,0.7413,0.0
4.1132,0.7414,0.0
4.1226,0.7414,0.0
4.1321,0.7414,0.0
4.1415,0.7414,0.0
4.1509,0.7413,0.0
4.1603,0.7414,0.0
4.1697,0.7414,0.0
4.1792,0.7415,0.0
4.1886,0.7415,0.0
4.1980,0.7416,0.0
4.2074,0.7416,0.0
4.2168,0.7417,0.0
4.2263,0.7417,0.0
4.2357,0.7416,0.0
4.2451,0.7415,0.0
4.2545,0.7413,0.0
4.2639,0.7413,0.0
4.2733,0.7412,0.0
4.2828,0.7412,0.0
4.2922,0.7412,0.0
4.3016,0.7412,0.0
4.3110,0.7412,0.0
4.3204,0.7413,0.0
4.3299,0.7413,0.0
4.3393,0.7413,0.0
4.3487,0.7413,0.0
4.3581,0.7415,0.0
4.3675,0.7418,0.0
4.3770,0.7420,0.0
4.3864,0.7421,0.0
4.3958,0.7423,0.0
4.4052,0.7425,0.0
4.4146,0.7427,0.0
4.4240,0.7429,0.0
4.4335,0.7432,0.0
4.4429,0.7436,0.0
4.4523,0.7437,0.0
4.4617,0.7438,0.0
4.4711,0.7439,0.0
4.4806,0.7441,0.0
4.4900,0.7442,0.0
4.4994,0.7442,0.0
4.5088,0.7442,0.0
4.5182,0.7442,0.0
4.5277,0.7441,0.0
4.5371,0.7441,0.0
4.5465,0.7442,0.0
4.5559,0.7443,0.0
4.5653,0.7444,0.0
4.5747,0.7445,0.0
4.5842,0.7446,0.0
4.5936,0.7445,0.0
4.6030,0.7442,0.0
4.6124,0.7440,0.0
4.6218,0.7439,0.0
4.6313,0.7439,0.0
4.6407,0.7439,0.0
4.6501,0.7440,0.0
4.6595,0.7441,0.0
4.6689,0.7441,0.0
4.6784,0.7440,0.0
4.6878,0.7439,0.0
4.6972,0.7437,0.0
4.7066,0.7435,0.0
4.7160,0.7433,0.0
4.7255,0.7432,0.0
4.7349,0.7433,0.0
4.7443,0.7436,0.0
4.7537,0.7439,0.0
4.7631,0.7442,0.0
4.7725,0.7444,0.0
4.7820,0.7446,0.0
4.7914,0.7446,0.0
4.8008,0.7446,0.0
4.8102,0.7444,0.0
4.8196,0.7443,0.0
4.8291,0.7442,0.0
4.8385,0.7443,0.0
4.8479,0.7443,0.0
4.8573,0.7446,0.0
4.8667,0.7448,0.0
4.8762,0.7448,0.0
4.8856,0.7449,0.0
4.8950,0.7449,0.0
4.9044,0.7450,0.0
4.9138,0.7451,0.0
4.9232,0.7452,0.0
4.9327,0.7453,0.0
4.9421,0.7454,0.0
4.9515,0.7454,0.0
4.9609,0.7455,0.0
4.9703,0.7456,0.0
4.9798,0.7457,0.0
4.9892,0.7458,0.0
4.9986,0.7459,0.0
5.0080,0.7459,0.0
5.0174,0.7460,0.0
5.0269,0.7460,0.0
5.0363,0.7461,0.0
5.0457,0.7461,0.0
5.0551,0.7462,0.0
5.0645,0.7462,0.0
5.0739,0.7462,0.0
5.0834,0.7463,0.0
5.0928,0.7463,0.0
5.1022,0.7464,0.0
5.1116,0.7464,0.0
5.1210,0.7464,0.0
5.1305,0.7465,0.0
5.1399,0.7465,0.0
5.1493,0.7466,0.0
5.1587,0.7466,0.0
5.1681,0.7466,0.0
5.1776,0.7467,0.0
5.1870,0.7467,0.0
5.1964,0.7468,0.0
5.2058,0.7468,0.0
5.2152,0.7469,0.0
5.2246,0.7469,0.0
5.2341,0.7469,0.0
5.2435,0.7470,0.0
5.2529,0.7470,0.0
5.2623,0.7471,0.0
5.2717,0.7471,0.0
5.2812,0.7472,0.0
5.2906,0.7472,0.0
5.3000,0.7472,0.0
