# wavelength (microns), QE
2.5680,0.7883
2.5690,0.7883
2.5700,0.7884
2.5710,0.7885
2.5720,0.7885
2.5730,0.7886
2.5740,0.7886
2.5750,0.7887
2.5760,0.7887
2.5770,0.7888
2.5780,0.7888
2.5790,0.7889
2.5800,0.7890
2.5810,0.7890
2.5820,0.7891
2.5830,0.7891
2.5840,0.7892
2.5850,0.7892
2.5860,0.7893
2.5870,0.7894
2.5880,0.7894
2.5890,0.7895
2.5900,0.7895
2.5910,0.7896
2.5920,0.7896
2.5930,0.7897
2.5940,0.7898
2.5950,0.7898
2.5960,0.7899
2.5970,0.7899
2.5980,0.7900
2.5990,0.7901
2.6000,0.7901
2.6010,0.7902
2.6020,0.7902
2.6030,0.7903
2.6040,0.7904
2.6050,0.7904
2.6060,0.7905
2.6070,0.7905
2.6080,0.7906
2.6090,0.7907
2.6100,0.7907
2.6110,0.7908
2.6120,0.7908
2.6130,0.7909
2.6140,0.7910
2.6150,0.7910
2.6160,0.7911
2.6170,0.7911
2.6180,0.7912
2.6190,0.7913
2.6200,0.7913
2.6210,0.7914
2.6220,0.7914
2.6230,0.7915
2.6240,0.7916
2.6250,0.7916
2.6260,0.7917
2.6270,0.7918
2.6280,0.7918
2.6290,0.7919
2.6300,0.7920
2.6310,0.7920
2.6320,0.7921
2.6330,0.7921
2.6340,0.7922
2.6350,0.7923
2.6360,0.7923
2.6370,0.7924
2.6380,0.7925
2.6390,0.7925
2.6400,0.7926
2.6410,0.7927
2.6420,0.7927
2.6430,0.7928
2.6440,0.7929
2.6450,0.7929
2.6460,0.7930
2.6470,0.7931
2.6480,0.7931
2.6490,0.7932
2.6500,0.7932
2.6510,0.7933
2.6520,0.7934
2.6530,0.7934
2.6540,0.7935
2.6550,0.7936
2.6560,0.7936
2.6570,0.7937
2.6580,0.7938
2.6590,0.7939
2.6600,0.7939
2.6610,0.7940
2.6620,0.7941
2.6630,0.7941
2.6640,0.7942
2.6650,0.7943
2.6660,0.7943
2.6670,0.7944
2.6680,0.7945
2.6690,0.7945
2.6700,0.7946
2.6710,0.7947
2.6720,0.7947
2.6730,0.7948
2.6740,0.7949
2.6750,0.7949
2.6760,0.7950
2.6770,0.7951
2.6780,0.7952
2.6790,0.7952
2.6800,0.7953
2.6810,0.7954
2.6820,0.7954
2.6830,0.7955
2.6840,0.7956
2.6850,0.7956
2.6860,0.7957
2.6870,0.7958
2.6880,0.7959
2.6890,0.7959
2.6900,0.7960
2.6910,0.7961
2.6920,0.7961
2.6930,0.7962
2.6940,0.7963
2.6950,0.7964
2.6960,0.7964
2.6970,0.7965
2.6980,0.7966
2.6990,0.7966
2.7000,0.7967
2.7010,0.7968
2.7020,0.7969
2.7030,0.7969
2.7040,0.7970
2.7050,0.7971
2.7060,0.7972
2.7070,0.7972
2.7080,0.7973
2.7090,0.7974
2.7100,0.7974
2.7110,0.7975
2.7120,0.7976
2.7130,0.7977
2.7140,0.7977
2.7150,0.7978
2.7160,0.7979
2.7170,0.7980
2.7180,0.7980
2.7190,0.7981
2.7200,0.7982
2.7210,0.7983
2.7220,0.7983
2.7230,0.7984
2.7240,0.7985
2.7250,0.7986
2.7260,0.7986
2.7270,0.7987
2.7280,0.7988
2.7290,0.7989
2.7300,0.7989
2.7310,0.7990
2.7320,0.7991
2.7330,0.7992
2.7340,0.7992
2.7350,0.7993
2.7360,0.7994
2.7370,0.7995
2.7380,0.7995
2.7390,0.7996
2.7400,0.7997
2.7410,0.7998
2.7420,0.7999
2.7430,0.7999
2.7440,0.8000
2.7450,0.8001
2.7460,0.8002
2.7470,0.8002
2.7480,0.8003
2.7490,0.8004
2.7500,0.8005
2.7510,0.8006
2.7520,0.8006
2.7530,0.8007
2.7540,0.8008
2.7550,0.8009
2.7560,0.8009
2.7570,0.8010
2.7580,0.8011
2.7590,0.8012
2.7600,0.8013
2.7610,0.8013
2.7620,0.8014
2.7630,0.8015
2.7640,0.8016
2.7650,0.8017
2.7660,0.8017
2.7670,0.8018
2.7680,0.8019
2.7690,0.8020
2.7700,0.8021
2.7710,0.8021
2.7720,0.8022
2.7730,0.8023
2.7740,0.8024
2.7750,0.8025
2.7760,0.8025
2.7770,0.8026
2.7780,0.8027
2.7790,0.8028
2.7800,0.8029
2.7810,0.8029
2.7820,0.8030
2.7830,0.8031
2.7840,0.8032
2.7850,0.8033
2.7860,0.8033
2.7870,0.8034
2.7880,0.8035
2.7890,0.8036
2.7900,0.8037
2.7910,0.8038
2.7920,0.8038
2.7930,0.8039
2.7940,0.8040
2.7950,0.8041
2.7960,0.8042
2.7970,0.8042
2.7980,0.8043
2.7990,0.8044
2.8000,0.8045
2.8010,0.8046
2.8020,0.8047
2.8030,0.8047
2.8040,0.8048
2.8050,0.8049
2.8060,0.8050
2.8070,0.8051
2.8080,0.8052
2.8090,0.8052
2.8100,0.8053
2.8110,0.8054
2.8120,0.8055
2.8130,0.8056
2.8140,0.8057
2.8150,0.8057
2.8160,0.8058
2.8170,0.8059
2.8180,0.8060
2.8190,0.8061
2.8200,0.8062
2.8210,0.8063
2.8220,0.8063
2.8230,0.8064
2.8240,0.8065
2.8250,0.8066
2.8260,0.8067
2.8270,0.8068
2.8280,0.8068
2.8290,0.8069
2.8300,0.8070
2.8310,0.8071
2.8320,0.8072
2.8330,0.8073
2.8340,0.8074
2.8350,0.8074
2.8360,0.8075
2.8370,0.8076
2.8380,0.8077
2.8390,0.8078
2.8400,0.8079
2.8410,0.8080
2.8420,0.8081
2.8430,0.8081
2.8440,0.8082
2.8450,0.8083
2.8460,0.8084
2.8470,0.8085
2.8480,0.8086
2.8490,0.8087
2.8500,0.8087
2.8510,0.8088
2.8520,0.8089
2.8530,0.8090
2.8540,0.8091
2.8550,0.8092
2.8560,0.8093
2.8570,0.8094
2.8580,0.8094
2.8590,0.8095
2.8600,0.8096
2.8610,0.8097
2.8620,0.8098
2.8630,0.8099
2.8640,0.8100
2.8650,0.8101
2.8660,0.8101
2.8670,0.8102
2.8680,0.8103
2.8690,0.8104
2.8700,0.8105
2.8710,0.8106
2.8720,0.8107
2.8730,0.8108
2.8740,0.8109
2.8750,0.8109
2.8760,0.8110
2.8770,0.8111
2.8780,0.8112
2.8790,0.8113
2.8800,0.8114
2.8810,0.8115
2.8820,0.8116
2.8830,0.8117
2.8840,0.8117
2.8850,0.8118
2.8860,0.8119
2.8870,0.8120
2.8880,0.8121
2.8890,0.8122
2.8900,0.8123
2.8910,0.8124
2.8920,0.8125
2.8930,0.8126
2.8940,0.8126
2.8950,0.8127
2.8960,0.8128
2.8970,0.8129
2.8980,0.8130
2.8990,0.8131
2.9000,0.8132
2.9010,0.8133
2.9020,0.8134
2.9030,0.8135
2.9040,0.8135
2.9050,0.8136
2.9060,0.8137
2.9070,0.8138
2.9080,0.8139
2.9090,0.8140
2.9100,0.8141
2.9110,0.8142
2.9120,0.8143
2.9130,0.8144
2.9140,0.8145
2.9150,0.8145
2.9160,0.8146
2.9170,0.8147
2.9180,0.8148
2.9190,0.8149
2.9200,0.8150
2.9210,0.8151
2.9220,0.8152
2.9230,0.8153
2.9240,0.8154
2.9250,0.8155
2.9260,0.8156
2.9270,0.8156
2.9280,0.8157
2.9290,0.8158
2.9300,0.8159
2.9310,0.8160
2.9320,0.8161
2.9330,0.8162
2.9340,0.8163
2.9350,0.8164
2.9360,0.8165
2.9370,0.8166
2.9380,0.8167
2.9390,0.8168
2.9400,0.8169
2.9410,0.8169
2.9420,0.8170
2.9430,0.8171
2.9440,0.8172
2.9450,0.8173
2.9460,0.8174
2.9470,0.8175
2.9480,0.8176
2.9490,0.8177
2.9500,0.8178
2.9510,0.8179
2.9520,0.8180
2.9530,0.8181
2.9540,0.8182
2.9550,0.8182
2.9560,0.8183
2.9570,0.8184
2.9580,0.8185
2.9590,0.8186
2.9600,0.8187
2.9610,0.8188
2.9620,0.8189
2.9630,0.8190
2.9640,0.8191
2.9650,0.8192
2.9660,0.8193
2.9670,0.8194
2.9680,0.8195
2.9690,0.8196
2.9700,0.8197
2.9710,0.8198
2.9720,0.8198
2.9730,0.8199
2.9740,0.8200
2.9750,0.8201
2.9760,0.8202
2.9770,0.8203
2.9780,0.8204
2.9790,0.8205
2.9800,0.8206
2.9810,0.8207
2.9820,0.8208
2.9830,0.8209
2.9840,0.8210
2.9850,0.8211
2.9860,0.8212
2.9870,0.8213
2.9880,0.8214
2.9890,0.8215
2.9900,0.8216
2.9910,0.8216
2.9920,0.8217
2.9930,0.8218
2.9940,0.8219
2.9950,0.8220
2.9960,0.8221
2.9970,0.8222
2.9980,0.8223
2.9990,0.8224
3.0000,0.8225
3.0010,0.8226
3.0020,0.8227
3.0030,0.8228
3.0040,0.8229
3.0050,0.8230
3.0060,0.8231
3.0070,0.8232
3.0080,0.8233
3.0090,0.8234
3.0100,0.8235
3.0110,0.8236
3.0120,0.8237
3.0130,0.8237
3.0140,0.8238
3.0150,0.8239
3.0160,0.8240
3.0170,0.8241
3.0180,0.8242
3.0190,0.8243
3.0200,0.8244
3.0210,0.8245
3.0220,0.8246
3.0230,0.8247
3.0240,0.8248
3.0250,0.8249
3.0260,0.8250
3.0270,0.8251
3.0280,0.8252
3.0290,0.8253
3.0300,0.8254
3.0310,0.8255
3.0320,0.8256
3.0330,0.8257
3.0340,0.8258
3.0350,0.8259
3.0360,0.8260
3.0370,0.8261
3.0380,0.8262
3.0390,0.8263
3.0400,0.8264
3.0410,0.8264
3.0420,0.8265
3.0430,0.8266
3.0440,0.8267
3.0450,0.8268
3.0460,0.8269
3.0470,0.8270
3.0480,0.8271
3.0490,0.8272
3.0500,0.8273
3.0510,0.8274
3.0520,0.8275
3.0530,0.8276
3.0540,0.8277
3.0550,0.8278
3.0560,0.8279
3.0570,0.8280
3.0580,0.8281
3.0590,0.8282
3.0600,0.8283
3.0610,0.8284
3.0620,0.8285
3.0630,0.8286
3.0640,0.8287
3.0650,0.8288
3.0660,0.8289
3.0670,0.8290
3.0680,0.8291
3.0690,0.8292
3.0700,0.8293
3.0710,0.8294
3.0720,0.8295
3.0730,0.8296
3.0740,0.8297
3.0750,0.8297
3.0760,0.8298
3.0770,0.8299
3.0780,0.8300
3.0790,0.8301
3.0800,0.8302
3.0810,0.8303
3.0820,0.8304
3.0830,0.8305
3.0840,0.8306
3.0850,0.8307
3.0860,0.8308
3.0870,0.8309
3.0880,0.8310
3.0890,0.8311
3.0900,0.8312
3.0910,0.8313
3.0920,0.8314
3.0930,0.8315
3.0940,0.8316
3.0950,0.8317
3.0960,0.8318
3.0970,0.8319
3.0980,0.8320
3.0990,0.8321
3.1000,0.8322
3.1010,0.8323
3.1020,0.8324
3.1030,0.8325
3.1040,0.8326
3.1050,0.8327
3.1060,0.8328
3.1070,0.8329
3.1080,0.8330
3.1090,0.8331
3.1100,0.8332
3.1110,0.8333
3.1120,0.8334
3.1130,0.8335
3.1140,0.8336
3.1150,0.8337
3.1160,0.8338
3.1170,0.8339
3.1180,0.8339
3.1190,0.8340
3.1200,0.8341
3.1210,0.8342
3.1220,0.8343
3.1230,0.8344
3.1240,0.8345
3.1250,0.8346
3.1260,0.8347
3.1270,0.8348
3.1280,0.8349
3.1290,0.8350
3.1300,0.8351
3.1310,0.8352
3.1320,0.8353
3.1330,0.8354
3.1340,0.8355
3.1350,0.8356
3.1360,0.8357
3.1370,0.8358
3.1380,0.8359
3.1390,0.8360
3.1400,0.8361
3.1410,0.8362
3.1420,0.8363
3.1430,0.8364
3.1440,0.8365
3.1450,0.8366
3.1460,0.8367
3.1470,0.8368
3.1480,0.8369
3.1490,0.8370
3.1500,0.8371
3.1510,0.8372
3.1520,0.8373
3.1530,0.8374
3.1540,0.8375
3.1550,0.8376
3.1560,0.8377
3.1570,0.8378
3.1580,0.8379
3.1590,0.8380
3.1600,0.8381
3.1610,0.8382
3.1620,0.8383
3.1630,0.8384
3.1640,0.8384
3.1650,0.8385
3.1660,0.8386
3.1670,0.8387
3.1680,0.8388
3.1690,0.8389
3.1700,0.8390
3.1710,0.8391
3.1720,0.8392
3.1730,0.8393
3.1740,0.8394
3.1750,0.8395
3.1760,0.8396
3.1770,0.8397
3.1780,0.8398
3.1790,0.8399
3.1800,0.8400
3.1810,0.8401
3.1820,0.8402
3.1830,0.8403
3.1840,0.8404
3.1850,0.8405
3.1860,0.8406
3.1870,0.8407
3.1880,0.8408
3.1890,0.8409
3.1900,0.8410
3.1910,0.8411
3.1920,0.8412
3.1930,0.8413
3.1940,0.8414
3.1950,0.8415
3.1960,0.8416
3.1970,0.8417
3.1980,0.8418
3.1990,0.8419
3.2000,0.8420
3.2010,0.8421
3.2020,0.8422
3.2030,0.8422
3.2040,0.8423
3.2050,0.8424
3.2060,0.8425
3.2070,0.8426
3.2080,0.8427
3.2090,0.8428
3.2100,0.8429
3.2110,0.8430
3.2120,0.8431
3.2130,0.8432
3.2140,0.8433
3.2150,0.8434
3.2160,0.8435
3.2170,0.8436
3.2180,0.8437
3.2190,0.8438
3.2200,0.8439
3.2210,0.8440
3.2220,0.8441
3.2230,0.8442
3.2240,0.8443
3.2250,0.8444
3.2260,0.8445
3.2270,0.8446
3.2280,0.8447
3.2290,0.8448
3.2300,0.8449
3.2310,0.8450
3.2320,0.8451
3.2330,0.8452
3.2340,0.8452
3.2350,0.8453
3.2360,0.8454
3.2370,0.8455
3.2380,0.8456
3.2390,0.8457
3.2400,0.8458
